,region,industry,employed_count,region_population,percent_of_state_population,year,Code
356,New Hampshire,"Transportation and warehousing, and utilities",27227,730223,0.03728587,2020,NH
357,New Hampshire,Information,14217,730223,0.019469395,2020,NH
358,New Hampshire,"Finance and insurance, and real estate and rental and leasing",46048,730223,0.063060188,2020,NH
359,New Hampshire,"Professional, scientific, and management, and administrative and waste management services",82008,730223,0.112305419,2020,NH
360,New Hampshire,"Educational services, and health care and social assistance",180390,730223,0.247034125,2020,NH
361,New Hampshire,"Arts, entertainment, and recreation, and accommodation and food services",63270,730223,0.086644765,2020,NH
362,New Hampshire,"Other services, except public administration",31592,730223,0.043263496,2020,NH
363,New Hampshire,Public administration,29577,730223,0.040504065,2020,NH
364,New Jersey,"Agriculture, forestry, fishing and hunting, and mining",14116,4426619,0.00318889,2020,NJ
365,New Jersey,Construction,262935,4426619,0.059398606,2020,NJ
366,New Jersey,Manufacturing,359528,4426619,0.081219549,2020,NJ
367,New Jersey,Wholesale trade,145005,4426619,0.032757506,2020,NJ
368,New Jersey,Retail trade,473583,4426619,0.106985263,2020,NJ
369,New Jersey,"Transportation and warehousing, and utilities",282432,4426619,0.063803097,2020,NJ
370,New Jersey,Information,116482,4426619,0.026313988,2020,NJ
371,New Jersey,"Finance and insurance, and real estate and rental and leasing",377720,4426619,0.085329232,2020,NJ
372,New Jersey,"Professional, scientific, and management, and administrative and waste management services",604462,4426619,0.136551621,2020,NJ
373,New Jersey,"Educational services, and health care and social assistance",1065323,4426619,0.240662908,2020,NJ
374,New Jersey,"Arts, entertainment, and recreation, and accommodation and food services",344465,4426619,0.077816726,2020,NJ
375,New Jersey,"Other services, except public administration",187183,4426619,0.042285772,2020,NJ
376,New Jersey,Public administration,193385,4426619,0.043686841,2020,NJ
377,New Mexico,"Agriculture, forestry, fishing and hunting, and mining",35474,889193,0.039894601,2020,NM
378,New Mexico,Construction,64253,889193,0.072259903,2020,NM
379,New Mexico,Manufacturing,35522,889193,0.039948583,2020,NM
380,New Mexico,Wholesale trade,15938,889193,0.017924118,2020,NM
381,New Mexico,Retail trade,99088,889193,0.111435875,2020,NM
382,New Mexico,"Transportation and warehousing, and utilities",38845,889193,0.043685679,2020,NM
383,New Mexico,Information,12450,889193,0.01400146,2020,NM
384,New Mexico,"Finance and insurance, and real estate and rental and leasing",42483,889193,0.047777029,2020,NM
385,New Mexico,"Professional, scientific, and management, and administrative and waste management services",103446,889193,0.116336948,2020,NM
386,New Mexico,"Educational services, and health care and social assistance",228325,889193,0.256777775,2020,NM
387,New Mexico,"Arts, entertainment, and recreation, and accommodation and food services",96220,889193,0.108210478,2020,NM
388,New Mexico,"Other services, except public administration",49685,889193,0.055876508,2020,NM
389,New Mexico,Public administration,67464,889193,0.075871043,2020,NM
390,New York,"Agriculture, forestry, fishing and hunting, and mining",54095,9438639,0.005731229,2020,NY
391,New York,Construction,537024,9438639,0.056896339,2020,NY
392,New York,Manufacturing,562150,9438639,0.059558375,2020,NY
393,New York,Wholesale trade,210094,9438639,0.022258929,2020,NY
394,New York,Retail trade,939055,9438639,0.099490509,2020,NY
395,New York,"Transportation and warehousing, and utilities",522604,9438639,0.055368576,2020,NY
396,New York,Information,265898,9438639,0.028171223,2020,NY
397,New York,"Finance and insurance, and real estate and rental and leasing",762509,9438639,0.080785906,2020,NY
398,New York,"Professional, scientific, and management, and administrative and waste management services",1155757,9438639,0.12244954,2020,NY
399,New York,"Educational services, and health care and social assistance",2673758,9438639,0.283277918,2020,NY
400,New York,"Arts, entertainment, and recreation, and accommodation and food services",854148,9438639,0.090494827,2020,NY
401,New York,"Other services, except public administration",451662,9438639,0.04785245,2020,NY
402,New York,Public administration,449885,9438639,0.047664181,2020,NY
403,North Carolina,"Agriculture, forestry, fishing and hunting, and mining",59268,4833887,0.01226094,2020,NC
404,North Carolina,Construction,337824,4833887,0.069886615,2020,NC
405,North Carolina,Manufacturing,583148,4833887,0.120637491,2020,NC
406,North Carolina,Wholesale trade,120719,4833887,0.024973484,2020,NC
407,North Carolina,Retail trade,558989,4833887,0.11563965,2020,NC
408,North Carolina,"Transportation and warehousing, and utilities",231653,4833887,0.047922717,2020,NC
409,North Carolina,Information,81794,4833887,0.016920958,2020,NC
410,North Carolina,"Finance and insurance, and real estate and rental and leasing",323833,4833887,0.066992257,2020,NC
411,North Carolina,"Professional, scientific, and management, and administrative and waste management services",541815,4833887,0.112086815,2020,NC
412,North Carolina,"Educational services, and health care and social assistance",1103440,4833887,0.228271782,2020,NC
413,North Carolina,"Arts, entertainment, and recreation, and accommodation and food services",451053,4833887,0.093310621,2020,NC
414,North Carolina,"Other services, except public administration",241463,4833887,0.04995214,2020,NC
415,North Carolina,Public administration,198888,4833887,0.041144528,2020,NC
416,North Dakota,"Agriculture, forestry, fishing and hunting, and mining",36877,401579,0.091830001,2020,ND
417,North Dakota,Construction,29823,401579,0.074264342,2020,ND
418,North Dakota,Manufacturing,26976,401579,0.067174827,2020,ND
419,North Dakota,Wholesale trade,13562,401579,0.033771686,2020,ND
420,North Dakota,Retail trade,45448,401579,0.113173249,2020,ND
421,North Dakota,"Transportation and warehousing, and utilities",21738,401579,0.054131317,2020,ND
422,North Dakota,Information,4872,401579,0.012132109,2020,ND
423,North Dakota,"Finance and insurance, and real estate and rental and leasing",22823,401579,0.056833151,2020,ND
424,North Dakota,"Professional, scientific, and management, and administrative and waste management services",26665,401579,0.066400384,2020,ND
425,North Dakota,"Educational services, and health care and social assistance",104354,401579,0.259859206,2020,ND
426,North Dakota,"Arts, entertainment, and recreation, and accommodation and food services",31832,401579,0.079267093,2020,ND
427,North Dakota,"Other services, except public administration",17609,401579,0.043849404,2020,ND
428,North Dakota,Public administration,19000,401579,0.047313231,2020,ND
429,Ohio,"Agriculture, forestry, fishing and hunting, and mining",53718,5603630,0.009586286,2020,OH
430,Ohio,Construction,313136,5603630,0.05588092,2020,OH
431,Ohio,Manufacturing,845301,5603630,0.150848825,2020,OH
432,Ohio,Wholesale trade,144516,5603630,0.025789711,2020,OH
433,Ohio,Retail trade,631658,5603630,0.112723003,2020,OH
434,Ohio,"Transportation and warehousing, and utilities",301653,5603630,0.053831713,2020,OH
435,Ohio,Information,84723,5603630,0.015119307,2020,OH
436,Ohio,"Finance and insurance, and real estate and rental and leasing",361765,5603630,0.064559045,2020,OH
437,Ohio,"Professional, scientific, and management, and administrative and waste management services",548595,5603630,0.097899933,2020,OH
438,Ohio,"Educational services, and health care and social assistance",1358326,5603630,0.242401086,2020,OH
439,Ohio,"Arts, entertainment, and recreation, and accommodation and food services",499405,5603630,0.089121694,2020,OH
440,Ohio,"Other services, except public administration",244238,5603630,0.043585676,2020,OH
441,Ohio,Public administration,216596,5603630,0.038652802,2020,OH
442,Oklahoma,"Agriculture, forestry, fishing and hunting, and mining",77366,1779157,0.043484639,2020,OK
443,Oklahoma,Construction,126998,1779157,0.071380997,2020,OK
444,Oklahoma,Manufacturing,170330,1779157,0.095736352,2020,OK
445,Oklahoma,Wholesale trade,45401,1779157,0.025518265,2020,OK
446,Oklahoma,Retail trade,204679,1779157,0.115042686,2020,OK
447,Oklahoma,"Transportation and warehousing, and utilities",97283,1779157,0.054679267,2020,OK
448,Oklahoma,Information,27785,1779157,0.015616947,2020,OK
449,Oklahoma,"Finance and insurance, and real estate and rental and leasing",97235,1779157,0.054652288,2020,OK
450,Oklahoma,"Professional, scientific, and management, and administrative and waste management services",154280,1779157,0.086715225,2020,OK
451,Oklahoma,"Educational services, and health care and social assistance",401780,1779157,0.225826051,2020,OK
452,Oklahoma,"Arts, entertainment, and recreation, and accommodation and food services",171558,1779157,0.096426566,2020,OK
453,Oklahoma,"Other services, except public administration",94216,1779157,0.052955417,2020,OK
454,Oklahoma,Public administration,110246,1779157,0.061965302,2020,OK
455,Oregon,"Agriculture, forestry, fishing and hunting, and mining",61791,2014487,0.030673318,2020,OR
456,Oregon,Construction,130474,2014487,0.064767854,2020,OR
457,Oregon,Manufacturing,224692,2014487,0.111538074,2020,OR
458,Oregon,Wholesale trade,52801,2014487,0.026210643,2020,OR
459,Oregon,Retail trade,233421,2014487,0.115871187,2020,OR
460,Oregon,"Transportation and warehousing, and utilities",90567,2014487,0.044957848,2020,OR
461,Oregon,Information,34387,2014487,0.017069855,2020,OR
462,Oregon,"Finance and insurance, and real estate and rental and leasing",111493,2014487,0.055345604,2020,OR
463,Oregon,"Professional, scientific, and management, and administrative and waste management services",227418,2014487,0.112891272,2020,OR
464,Oregon,"Educational services, and health care and social assistance",470563,2014487,0.233589494,2020,OR
465,Oregon,"Arts, entertainment, and recreation, and accommodation and food services",193091,2014487,0.095851202,2020,OR
466,Oregon,"Other services, except public administration",90541,2014487,0.044944941,2020,OR
467,Oregon,Public administration,93248,2014487,0.046288708,2020,OR
468,Pennsylvania,"Agriculture, forestry, fishing and hunting, and mining",78501,6206839,0.012647501,2020,PA
469,Pennsylvania,Construction,370375,6206839,0.059672081,2020,PA
470,Pennsylvania,Manufacturing,722463,6206839,0.116397896,2020,PA
471,Pennsylvania,Wholesale trade,161872,6206839,0.02607962,2020,PA
472,Pennsylvania,Retail trade,679659,6206839,0.109501632,2020,PA
473,Pennsylvania,"Transportation and warehousing, and utilities",357042,6206839,0.057523967,2020,PA
474,Pennsylvania,Information,100428,6206839,0.016180217,2020,PA
475,Pennsylvania,"Finance and insurance, and real estate and rental and leasing",409691,6206839,0.066006384,2020,PA
476,Pennsylvania,"Professional, scientific, and management, and administrative and waste management services",658328,6206839,0.106064939,2020,PA
477,Pennsylvania,"Educational services, and health care and social assistance",1627281,6206839,0.262175481,2020,PA
478,Pennsylvania,"Arts, entertainment, and recreation, and accommodation and food services",501580,6206839,0.08081086,2020,PA
479,Pennsylvania,"Other services, except public administration",293034,6206839,0.047211471,2020,PA
480,Pennsylvania,Public administration,246585,6206839,0.039727952,2020,PA
481,Rhode Island,"Agriculture, forestry, fishing and hunting, and mining",2676,535140,0.005000561,2020,RI
482,Rhode Island,Construction,32497,535140,0.060726165,2020,RI
483,Rhode Island,Manufacturing,56630,535140,0.105822775,2020,RI
484,Rhode Island,Wholesale trade,12026,535140,0.022472624,2020,RI
